Name,RA,DEC,Constellation,Type,Magnitude,Distance,Designation,ProperMotionRA(mas/yr),ProperMotionDEC(mas/yr)
Sirius,06h45m08,-16°42'58,CANIS MAJOR,A0 White MS + DA2 White Dwarf,-1.46,8.60 ly,Alpha Canis Majoris,-546.01,-1223.07
Canopus,06h23m57,-52°41'44,CARINA,A9 White Bright-Giant,-0.74,310 ly,Alpha Carinae,+19.93,+23.24
Alpha Centauri,14h39m36,-60°50'02,CENTAURUS,G2V Yel MS + K1 Orng MS + M6 Red Dwf,-0.27,4.37 ly,Alpha/Beta/Proxima Centauri,-3614.39,+802.98
Arcturus,14h15m39,+19°10'56,BOOTES,K0 Orange Giant,-0.05,36.70 ly,Alpha Bootis,-1093.45,-1999.40
Vega,18h36m56,+38°47'01,LYRA,A0 White Main Seq,0.03,25.04 ly,Alpha Lyrae,+200.94,+286.23
Capella,5h16m41,+45°59'52,AURIGA,K0 Or GT + G1 Yl GT + M2/4 2x Red Dwf,0.08,42.92 ly,Alpha Aurigae,+75.52,-427.11
Rigel,05h14m32,-08°12'14,ORION,B8 Bl Supegiant + B9 Bl MS + B9 Bl MS,0.13,860 ly,Beta Orionis,+1.31,+0.50
Procyon,07h39m18,+05°13'29,CANIS MINOR,F5 Yellow-White MS + DQZ White Dwarf,0.34,11.46 ly,Alpha Canis Minoris,-714.590,-1036.80
Achernar,01h37m42,-57°14'12,ERIDANUS,B6 Blue-White MS + A1 White MS,0.46,139 ly,Alpha Eridani,+87.00,-38.24
Betelgeuse,05h55m10,+07°24'25,ORION,M1 Red Supergiant,0.50,724 ly,Alpha Orionis,+26.42,+9.60
Hadar,14h03m49,-60°22'22,CENTAURUS,B1 Bl-Wht GT+B1 Bl-Wht GT+B1 Bl-Wht MS,0.61,390 ly,Beta Centauri,–33.27,–23.16
Altair,19h50m47,+08°52'05,AQUILA,A7 White Main Seq,0.76,17.73 ly,Alpha Aquilae,+536.23,+385.29
Acrux,12h26m36,-63°05'56,CRUX,B0.5 Bl-Wht Subgiant + B1 Bl-Wht MS,0.76,320 ly,Alpha Crucis,-35.83,-14.86
