C1,00h48m26,+85°15'18,CEPHEUS,Open Cluster,8.1,15′,Polarissima Cluster
C2,00h13m01,+72°31'19,CEPHEUS,Planetary Nebula,12.3,1′,Bow-Tie Nebula
C3,12h16m42,+69°27'45,DRACO,Spiral Galaxy,9.6,23′x7′,NGC 4236
C4,21h01m36,+68°10'10,CEPHEUS,Reflection Nebula,7.1,5′,Iris Nebula
C5,03h46m49,+68°05'46,CAMELOPARDALIS,Spiral Galaxy,8.4,21′x21′,IC 342
C6,17h58m33,+66°37'59,DRACO,Planetary Nebula,8.1,20″,Cat's Eye Nebula
C7,07h36m51,+65°36'09,CAMELOPARDALIS,Spiral Galaxy,8.5,23′x12′,NGC 2403
C8,01h29m33,+63°18'05,CASSIOPEIA,Open Cluster,9.5,7′,NGC 559
C9,22h57m14,+62°28'33,CEPHEUS,Emission Nebula,7.7,15′x10′,Cave Nebula
C10,01h46m00,+61°15'00,CASSIOPEIA,Open Cluster,7.1,15′,Lawnmower Cluster
C11,23h20m48,+61°12'06,CASSIOPEIA,Emission Nebula,11.0,15′x8′,Bubble Nebula
C12,20h34m52,+60°09'14,CEPHEUS,Spiral Galaxy,8.8,11′x10′,Fireworks Galaxy
C13,01h19m33,+58°17'27,CASSIOPEIA,Open Cluster,6.4,20′,Owl/E.T. Cluster
C14,02h19m06,+57°09'00,PERSEUS,Open Cluster,3.8,60′,Double Cluster
C15,19h44m48,+50°31'30,CYGNUS,Planetary Nebula,8.8,36″,Blinking Planetary
C16,22h15m09,+49°53'51,LACERTA,Open Cluster,6.4,30′,NGC 7243
C17,00h33m12,+48°30'32,CASSIOPEIA,Dwarf Sphr. Galaxy,9.5,13′x8′,NGC 147
C18,00h38m58,+48°20'15,CASSIOPEIA,Elliptical Galaxy,9.2,8′x7′,NGC 185
C19,21h53m29,+47°16'01,CYGNUS,Reflection Nebula,10.0,20′x10′,Cocoon Nebula
C20,20h59m17,+44°31'44,CYGNUS,Emission Nebula,4.0,120′x30′,N. American Nebula
C21,12h28m12,+44°05'40,CANES VENATICI,Irregular Galaxy,9.6,6′x4′,NGC 4449
C22,23h25m54,+42°32'06,ANDROMEDA,Planetary Nebula,8.3,37″,Blue Snowball
C23,02h22m33,+42°20'57,ANDROMEDA,Spiral Galaxy,9.9,12′x2′,NGC 891
C24,03h19m48,+41°30'42,PERSEUS,Seyfert Galaxy,11.9,2′x2′,Perseus A
C25,07h38m09,+38°52'55,LYNX,Globular Cluster,10.3,5′,Intergalactic Wanderer
C26,12h17m30,+37°48'26,CANES VENATICI,Spiral Galaxy,10.4,17′x2′,NGC 4244
C27,20h12m07,+38°21'18,CYGNUS,Emission Nebula,10.0,20′x10′,Crescent Nebula
C28,01h57m41,+37°47'06,ANDROMEDA,Open Cluster,5.7,75′,NGC 752
C29,13h10m56,+37°03'33,CANES VENATICI,Spiral Galaxy,9.8,6′x3′,NGC 5005
C30,22h37m04,+34°24'56,PEGASUS,Spiral Galaxy,9.5,10′x4′,Deer Lick Group
C31,05h16m05,+34°27'49,AURIGA,Emission Nebula,10.0,50′x30′,Flaming Star Nebula
C32,12h42m08,+32°32'29,CANES VENATICI,Spiral Galaxy,9.2,15′x3′,Whale Galaxy
C33,20h56m34,+31°43'54,CYGNUS,Supernova Remnant,5.0,60′x8′,Eastern Veil Nebula
C34,20h45m37,+30°42'30,CYGNUS,Supernova Remnant,7.0,210′x162′,Western Veil Nebula
C35,13h00m08,+27°58'37,COMA BERENICES,Elliptical Galaxy,11.5,3′x2′,Coma B
C36,12h35m58,+27°57'35,COMA BERENICES,Spiral Galaxy,10.0,11′x4′,Koi Fish Galaxy
C37,20h12m00,+26°29'00,VULPECULA,Open Cluster,8.1,7′,20 Vulpeculae Cluster
C38,12h36m21,+25°59'16,COMA BERENICES,Spiral Galaxy,9.6,16′x2′,Needle Galaxy
C39,07h29m11,+20°54'42,GEMINI,Planetary Nebula,9.1,54″,Eskimo Nebula
C40,11h20m04,+18°21'25,LEO,Spiral Galaxy,11.0,3′x2′,NGC 3626
