Name,RA,DEC,Constellation,Type,Magnitude,Size,Description
M1,05h34m32,+22°00'52,TAURUS,Supernova Remnant,8.4,8'x4',Crab Nebula
M2,21h33m27,-00°49'24,AQUARIUS,Globular Cluster,6.6,16',NGC 7089
M3,13h42m12,+28°22'38,CANES VENATICI,Globular Cluster,6.3,18',NGC 5272
M4,16h23m35,-26°31'33,SCORPIUS,Globular Cluster,5.4,36',NGC 6121
M5,15h18m32,+02°04'52,SERPENS,Globular Cluster,5.7,23',NGC 5904
M6,17h40m06,-32°13'00,SCORPIUS,Open Cluster,4.2,33',Butterfly Cluster
M7,17h53m51,-34°47'34,SCORPIUS,Open Cluster,3.3,78',Ptolemy Cluster
M8,18h03m37,-24°23'12,SAGITTARIUS,Diffuse Nebula,5.0,45'x30',Lagoon Nebula
M9,17h19m12,-18°30'59,OPHIUCHUS,Globular Cluster,7.8,12',NGC 6333
M10,16h57m09,-04°05'58,OPHIUCHUS,Globular Cluster,6.6,20',NGC 6254
M11,18h51m06,-06°16'00,SCUTUM,Open Cluster,5.8,11',Wild Duck Cluster
M12,16h47m14,-01°56'55,OPHIUCHUS,Globular Cluster,6.1,16',Gumball Globular
M13,16h41m41,+36°27'36,HERCULES,Globular Cluster,5.8,20',Great Hercules Cluster
M14,17h37m36,-03°14'45,OPHIUCHUS,Globular Cluster,7.6,11',NGC 6402
M15,21h29m58,+12°10'01,PEGASUS,Globular Cluster,6.3,18',Great Pegasus Cluster
M16,18h18m48,-13°49'00,SERPENS,Emission Nebula,6.0,7',Eagle Nebula
M17,18h20m26,-16°10'36,SAGITTARIUS,Emission Nebula,6.0,11',Omega/Swan Nebula
M18,18h19m54,-17°08'00,SAGITTARIUS,Open Cluster,6.9,7',Black Swan Cluster
M19,17h02m38,-26°16'05,OPHIUCHUS,Globular Cluster,6.8,17',NGC 6273
M20,18h02m23,-23°01'48,SAGITTARIUS,Nebula/Open Cluster,6.3,28',Trifid Nebula
M21,18h04m36,-22°30'00,SAGITTARIUS,Open Cluster,5.9,16',Webb's Cross
M22,18h36m24,-23°54'17,SAGITTARIUS,Globular Cluster,5.2,32',Great Sagittarius Cluster
M23,17h56m48,-19°01'00,SAGITTARIUS,Open Cluster,5.5,25',NGC 6494
M24,18h17m00,-18°29'00,SAGITTARIUS,Star Cloud,4.6,90'x60',Sagittarius Star Cloud
M25,18h31m36,-19°15'00,SAGITTARIUS,Open Cluster,4.6,26',IC 4725
M26,18h45m12,-09°24'00,SCUTUM,Open Cluster,8.0,8',NGC 6694
M27,19h59m36,+22°43'16,VULPECULA,Planetary Nebula,7.4,7',Dumbbell Nebula
M28,18h24m33,-24°52'11,SAGITTARIUS,Globular Cluster,6.9,14',NGC 6626
M29,20h23m56,+38°31'24,CYGNUS,Open Cluster,6.6,10',NGC 6913
